Winery,Year,Age,LogAuction,WinterRain,HarvestRain,GrowTemp,HarvestTemp,FrancePop,USAlcConsump
Cheval Blanc,1952,63,6.653108161,566.4,165.5,17.28,14.39,42.46,7.85
Lafite-Rothschild,1952,63,6.861501894,566.4,165.5,17.28,14.39,42.46,7.85
Cheval Blanc,1953,62,6.66419216,653.3,75.6,16.94,17.64,42.75,8.03
Cheval Blanc,1955,60,6.311426232,504.3,129.5,17.3,17.13,43.43,7.84
Lafite-Rothschild,1955,60,6.550208527,504.3,129.5,17.3,17.13,43.43,7.84
Beychevelle,1959,56,5.3809567,377,182.6,17.68,19.28,45.24,7.89
Cheval Blanc,1959,56,7.437241702,377,182.6,17.68,19.28,45.24,7.89
Lafite-Rothschild,1959,56,7.645302047,377,182.6,17.68,19.28,45.24,7.89
Lafite-Rothschild,1960,55,6.405872878,748.2,290.6,16.67,16.18,45.68,8.02
Beychevelle,1961,54,5.81380212,747.8,37.7,17.64,21.05,46.16,8.08
Cheval Blanc,1961,54,7.311178303,747.8,37.7,17.64,21.05,46.16,8.08
Cos d'Estournel,1961,54,5.82224676,747.8,37.7,17.64,21.05,46.16,8.08
Lafite-Rothschild,1961,54,6.673045091,747.8,37.7,17.64,21.05,46.16,8.08
Cheval Blanc,1962,53,6.747610001,639.4,51.8,16.58,17.86,47,8.13
Cos d'Estournel,1962,53,5.416100402,639.4,51.8,16.58,17.86,47,8.13
Lafite-Rothschild,1962,53,6.298838947,639.4,51.8,16.58,17.86,47,8.13
Beychevelle,1964,51,4.354269958,326.5,96.1,17.63,19.43,48.31,8.46
Cheval Blanc,1964,51,6.492785141,326.5,96.1,17.63,19.43,48.31,8.46
Lafite-Rothschild,1964,51,6.011610253,326.5,96.1,17.63,19.43,48.31,8.46
Cheval Blanc,1966,49,5.957907764,734,85.2,16.81,18.82,49.16,8.78
Cos d'Estournel,1966,49,4.8094163,734,85.2,16.81,18.82,49.16,8.78
Giscours,1966,49,4.319885238,734,85.2,16.81,18.82,49.16,8.78
Lafite-Rothschild,1966,49,6.210419338,734,85.2,16.81,18.82,49.16,8.78
Cheval Blanc,1967,48,6.14692865,646.9,118.1,16.51,17.16,49.55,9.03
Lafite-Rothschild,1967,48,6.104770911,646.9,118.1,16.51,17.16,49.55,9.03
Lafite-Rothschild,1968,47,6.166215855,508.6,292.1,16.37,16.77,49.91,9.28
Lafite-Rothschild,1969,46,6.707522266,480.1,243.9,16.65,16.89,50.32,9.53
Beychevelle,1970,45,4.270536259,563.5,88.8,16.92,18.69,50.77,9.78
Cheval Blanc,1970,45,5.536231297,563.5,88.8,16.92,18.69,50.77,9.78
Cos d'Estournel,1970,45,4.254051208,563.5,88.8,16.92,18.69,50.77,9.78
Giscours,1970,45,4.721618999,563.5,88.8,16.92,18.69,50.77,9.78
Lafite-Rothschild,1970,45,5.605912354,563.5,88.8,16.92,18.69,50.77,9.78
Beychevelle,1971,44,3.751619484,488.4,111.9,17.2,17.28,51.25,9.99
Cheval Blanc,1971,44,5.975843166,488.4,111.9,17.2,17.28,51.25,9.99
Giscours,1971,44,3.420346201,488.4,111.9,17.2,17.28,51.25,9.99
Lafite-Rothschild,1971,44,5.699941775,488.4,111.9,17.2,17.28,51.25,9.99
Lafite-Rothschild,1972,43,6.276624692,465.1,157.3,15.27,15.04,51.7,10.1
Cos d'Estournel,1973,42,4.207375584,357.2,122.6,17.41,18.5,52.12,10.37
Lafite-Rothschild,1973,42,5.860415784,357.2,122.6,17.41,18.5,52.12,10.37
Beychevelle,1974,41,3.975936331,503.6,185.1,16.39,16.48,52.46,10.48
Cheval Blanc,1974,41,5.290385996,503.6,185.1,16.39,16.48,52.46,10.48
Beychevelle,1975,40,4.23757873,501.8,170.5,17.23,17.75,52.7,10.58
Cheval Blanc,1975,40,5.68968355,501.8,170.5,17.23,17.75,52.7,10.58
Cos d'Estournel,1975,40,4.397161522,501.8,170.5,17.23,17.75,52.7,10.58
Giscours,1975,40,4.186619838,501.8,170.5,17.23,17.75,52.7,10.58
Lafite-Rothschild,1975,40,6.138007792,501.8,170.5,17.23,17.75,52.7,10.58
Beychevelle,1976,39,4.163248541,380.6,246.7,17.84,16.6,52.91,10.44
Cheval Blanc,1976,39,5.730976022,380.6,246.7,17.84,16.6,52.91,10.44
Cos d'Estournel,1976,39,4.597238816,380.6,246.7,17.84,16.6,52.91,10.44
Lafite-Rothschild,1976,39,6.049214453,380.6,246.7,17.84,16.6,52.91,10.44
Lafite-Rothschild,1977,38,5.888490071,755.2,87.3,15.92,17.24,53.15,10.47
Beychevelle,1978,37,3.659450643,621.5,50.6,16.14,17.77,53.38,10.64
Cheval Blanc,1978,37,5.600937311,621.5,50.6,16.14,17.77,53.38,10.64
Cos d'Estournel,1978,37,4.456902169,621.5,50.6,16.14,17.77,53.38,10.64
Giscours,1978,37,4.108247467,621.5,50.6,16.14,17.77,53.38,10.64
Lafite-Rothschild,1978,37,5.954930222,621.5,50.6,16.14,17.77,53.38,10.64
Beychevelle,1979,36,3.822973189,600.3,121.5,16.5,17.83,53.61,10.83
Cheval Blanc,1979,36,5.489681251,600.3,121.5,16.5,17.83,53.61,10.83
Cos d'Estournel,1979,36,4.341985585,600.3,121.5,16.5,17.83,53.61,10.83
Lafite-Rothschild,1979,36,6.095711943,600.3,121.5,16.5,17.83,53.61,10.83
Lafite-Rothschild,1980,35,6.029097462,550.7,74.2,16.34,18.91,53.88,10.95
Beychevelle,1981,34,4.27652722,497.8,110.9,17.28,18.54,54.18,10.95
Cheval Blanc,1981,34,5.703248999,497.8,110.9,17.28,18.54,54.18,10.95
Cos d'Estournel,1981,34,4.206184044,497.8,110.9,17.28,18.54,54.18,10.95
Giscours,1981,34,3.777348102,497.8,110.9,17.28,18.54,54.18,10.95
Lafite-Rothschild,1981,34,6.140013854,497.8,110.9,17.28,18.54,54.18,10.95
Beychevelle,1982,33,5.185596496,708.7,162.2,17.67,19.07,54.49,10.7
Cheval Blanc,1982,33,6.50332963,708.7,162.2,17.67,19.07,54.49,10.7
Cos d'Estournel,1982,33,5.744956407,708.7,162.2,17.67,19.07,54.49,10.7
Giscours,1982,33,4.347952654,708.7,162.2,17.67,19.07,54.49,10.7
Lafite-Rothschild,1982,33,7.646850493,708.7,162.2,17.67,19.07,54.49,10.7
Beychevelle,1983,32,4.097340071,698.3,119.3,17.87,18.57,54.77,10.46
Cheval Blanc,1983,32,6.031165914,698.3,119.3,17.87,18.57,54.77,10.46
Cos d'Estournel,1983,32,4.558497778,698.3,119.3,17.87,18.57,54.77,10.46
Giscours,1983,32,3.805550761,698.3,119.3,17.87,18.57,54.77,10.46
Lafite-Rothschild,1983,32,6.20722088,698.3,119.3,17.87,18.57,54.77,10.46
Cheval Blanc,1984,31,5.558641089,572.6,144.8,16.71,16.24,55.03,10.22
Cos d'Estournel,1984,31,3.426865128,572.6,144.8,16.71,16.24,55.03,10.22
Lafite-Rothschild,1984,31,6.194935863,572.6,144.8,16.71,16.24,55.03,10.22
Beychevelle,1985,30,4.414735809,667.1,37.2,17.19,19.56,55.28,9.88
Cheval Blanc,1985,30,6.018933789,667.1,37.2,17.19,19.56,55.28,9.88
Cos d'Estournel,1985,30,4.885072071,667.1,37.2,17.19,19.56,55.28,9.88
Lafite-Rothschild,1985,30,6.296611959,667.1,37.2,17.19,19.56,55.28,9.88
Beychevelle,1986,29,4.549234554,518.5,171.2,16.65,17.86,55.58,9.75
Cheval Blanc,1986,29,5.721851574,518.5,171.2,16.65,17.86,55.58,9.75
Cos d'Estournel,1986,29,4.987434901,518.5,171.2,16.65,17.86,55.58,9.75
Lafite-Rothschild,1986,29,6.860433037,518.5,171.2,16.65,17.86,55.58,9.75
Cheval Blanc,1987,28,5.825764091,397,115.1,17.84,20.7,55.82,9.52
Cos d'Estournel,1987,28,4.284000269,397,115.1,17.84,20.7,55.82,9.52
Lafite-Rothschild,1987,28,6.169003854,397,115.1,17.84,20.7,55.82,9.52
Beychevelle,1988,27,4.106767082,734.2,58.8,17.65,18.05,56.12,9.3
Cheval Blanc,1988,27,5.821743272,734.2,58.8,17.65,18.05,56.12,9.3
Cos d'Estournel,1988,27,4.740662155,734.2,58.8,17.65,18.05,56.12,9.3
Giscours,1988,27,4.246636373,734.2,58.8,17.65,18.05,56.12,9.3
Lafite-Rothschild,1988,27,6.347249095,734.2,58.8,17.65,18.05,56.12,9.3
Beychevelle,1989,26,4.55240212,282.4,85.2,18.62,18.4,56.42,9.09
Cheval Blanc,1989,26,5.82043895,282.4,85.2,18.62,18.4,56.42,9.09
Cos d'Estournel,1989,26,4.836599317,282.4,85.2,18.62,18.4,56.42,9.09
Lafite-Rothschild,1989,26,6.282976775,282.4,85.2,18.62,18.4,56.42,9.09
Beychevelle,1990,25,4.4441795,380.6,80.4,18.78,19.35,56.71,9.08
Cheval Blanc,1990,25,6.766652438,380.6,80.4,18.78,19.35,56.71,9.08
Cos d'Estournel,1990,25,5.283152966,380.6,80.4,18.78,19.35,56.71,9.08
Giscours,1990,25,4.306494572,380.6,80.4,18.78,19.35,56.71,9.08
Lafite-Rothschild,1990,25,6.376063463,380.6,80.4,18.78,19.35,56.71,9.08
Cos d'Estournel,1991,24,4.538496053,519.8,182.5,18.08,20.7,56.98,8.57
Lafite-Rothschild,1991,24,6.207784873,519.8,182.5,18.08,20.7,56.98,8.57
Cheval Blanc,1992,23,5.90290652,487.8,341.6,18,17.34,57.24,8.47
Cos d'Estournel,1992,23,4.21153483,487.8,341.6,18,17.34,57.24,8.47
