"Churn","MonthlyCharges","SeniorCitizen","PaymentMethod","InternetService","tenure","Contract"
0,29.85,0,"Electronic check","DSL",1,"Month-to-month"
0,56.95,0,"Mailed check","DSL",34,"One year"
1,53.85,0,"Mailed check","DSL",2,"Month-to-month"
0,42.3,0,"Bank transfer","DSL",45,"One year"
1,70.7,0,"Electronic check","Fiber optic",2,"Month-to-month"
1,99.65,0,"Electronic check","Fiber optic",8,"Month-to-month"
0,89.1,0,"Credit card","Fiber optic",22,"Month-to-month"
0,29.75,0,"Mailed check","DSL",10,"Month-to-month"
1,104.8,0,"Electronic check","Fiber optic",28,"Month-to-month"
0,56.15,0,"Bank transfer","DSL",62,"One year"
0,49.95,0,"Mailed check","DSL",13,"Month-to-month"
0,18.95,0,"Credit card","No",16,"Two year"
0,100.35,0,"Credit card","Fiber optic",58,"One year"
1,103.7,0,"Bank transfer","Fiber optic",49,"Month-to-month"
0,105.5,0,"Electronic check","Fiber optic",25,"Month-to-month"
0,113.25,0,"Credit card","Fiber optic",69,"Two year"
0,20.65,0,"Mailed check","No",52,"One year"
0,106.7,0,"Bank transfer","Fiber optic",71,"Two year"
1,55.2,0,"Credit card","DSL",10,"Month-to-month"
0,90.05,0,"Electronic check","Fiber optic",21,"Month-to-month"
1,39.65,1,"Electronic check","DSL",1,"Month-to-month"
0,19.8,0,"Bank transfer","No",12,"One year"
1,20.15,0,"Mailed check","No",1,"Month-to-month"
0,59.9,0,"Credit card","DSL",58,"Two year"
0,59.6,0,"Credit card","DSL",49,"Month-to-month"
0,55.3,0,"Bank transfer","DSL",30,"Month-to-month"
1,99.35,0,"Electronic check","Fiber optic",47,"Month-to-month"
1,30.2,0,"Electronic check","DSL",1,"Month-to-month"
0,90.25,0,"Credit card","DSL",72,"Two year"
1,64.7,0,"Mailed check","DSL",17,"Month-to-month"
0,96.35,1,"Credit card","Fiber optic",71,"Two year"
0,95.5,1,"Credit card","Fiber optic",2,"Month-to-month"
0,66.15,0,"Mailed check","DSL",27,"One year"
0,20.2,0,"Bank transfer","No",1,"Month-to-month"
0,45.25,1,"Bank transfer","DSL",1,"Month-to-month"
0,99.9,0,"Bank transfer","Fiber optic",72,"Two year"
1,69.7,0,"Electronic check","Fiber optic",5,"Month-to-month"
0,74.8,0,"Credit card","Fiber optic",46,"Month-to-month"
1,106.35,0,"Electronic check","Fiber optic",34,"Month-to-month"
1,97.85,0,"Bank transfer","Fiber optic",11,"Month-to-month"
0,49.55,0,"Mailed check","DSL",10,"One year"
0,69.2,0,"Credit card","DSL",70,"Two year"
0,20.75,0,"Mailed check","No",17,"One year"
0,79.85,0,"Credit card","DSL",63,"Two year"
0,76.2,0,"Electronic check","DSL",13,"Month-to-month"
0,84.5,0,"Electronic check","Fiber optic",49,"Month-to-month"
0,49.25,0,"Mailed check","DSL",2,"Month-to-month"
1,80.65,0,"Electronic check","Fiber optic",2,"Month-to-month"
0,79.75,0,"Credit card","DSL",52,"Two year"
0,64.15,0,"Credit card","DSL",69,"Two year"
0,90.25,1,"Electronic check","Fiber optic",43,"Month-to-month"
1,99.1,0,"Credit card","Fiber optic",15,"Month-to-month"
0,69.5,1,"Credit card","DSL",25,"Month-to-month"
1,80.65,1,"Credit card","Fiber optic",8,"Month-to-month"
0,74.85,1,"Credit card","DSL",60,"One year"
1,95.45,1,"Electronic check","Fiber optic",18,"Month-to-month"
0,99.65,0,"Credit card","Fiber optic",63,"One year"
0,108.45,1,"Electronic check","Fiber optic",66,"One year"
0,24.95,0,"Credit card","No",34,"Two year"
0,107.5,0,"Credit card","Fiber optic",72,"Two year"
0,100.5,0,"Electronic check","Fiber optic",47,"Month-to-month"
0,89.9,0,"Bank transfer","Fiber optic",60,"Month-to-month"
0,42.1,0,"Bank transfer","DSL",72,"Two year"
0,54.4,0,"Credit card","DSL",18,"One year"
1,94.4,0,"Electronic check","Fiber optic",9,"Month-to-month"
0,75.3,0,"Electronic check","DSL",3,"Month-to-month"
0,78.9,0,"Electronic check","Fiber optic",47,"One year"
0,79.2,0,"Mailed check","DSL",31,"Two year"
0,20.15,0,"Bank transfer","No",50,"Two year"
0,79.85,0,"Mailed check","Fiber optic",10,"Month-to-month"
0,49.05,0,"Mailed check","DSL",1,"Month-to-month"
0,20.4,0,"Electronic check","No",52,"One year"
0,111.6,1,"Bank transfer","Fiber optic",64,"Two year"
0,24.25,0,"Bank transfer","No",62,"Two year"
0,64.5,0,"Bank transfer","DSL",3,"Month-to-month"
0,110.5,1,"Electronic check","Fiber optic",56,"One year"
0,55.65,0,"Credit card","DSL",46,"One year"
0,54.65,0,"Mailed check","DSL",8,"Month-to-month"
0,74.75,1,"Electronic check","DSL",30,"Month-to-month"
0,25.9,0,"Credit card","No",45,"One year"
1,79.35,0,"Electronic check","Fiber optic",1,"Month-to-month"
0,50.55,0,"Electronic check","DSL",11,"Month-to-month"
1,75.15,0,"Bank transfer","Fiber optic",7,"Month-to-month"
0,103.8,0,"Bank transfer","Fiber optic",42,"Month-to-month"
0,20.15,0,"Bank transfer","No",49,"Two year"
0,99.3,0,"Credit card","Fiber optic",9,"Month-to-month"
0,62.15,0,"Bank transfer","DSL",35,"One year"
0,20.65,0,"Bank transfer","No",48,"Two year"
0,19.95,0,"Mailed check","No",46,"Two year"
0,33.75,0,"Mailed check","DSL",29,"Month-to-month"
0,82.05,0,"Bank transfer","Fiber optic",30,"Month-to-month"
0,74.7,1,"Electronic check","Fiber optic",1,"Month-to-month"
0,84,0,"Mailed check","DSL",66,"Two year"
0,111.05,0,"Credit card","Fiber optic",65,"Month-to-month"
0,100.9,0,"Bank transfer","Fiber optic",72,"Two year"
1,78.95,0,"Electronic check","Fiber optic",12,"Month-to-month"
0,66.85,0,"Credit card","DSL",71,"One year"
1,21.05,0,"Mailed check","No",5,"Month-to-month"
0,21,0,"Bank transfer","No",52,"Two year"
1,98.5,1,"Electronic check","Fiber optic",25,"Month-to-month"
0,20.2,0,"Mailed check","No",1,"Month-to-month"
0,19.45,0,"Electronic check","No",1,"Month-to-month"
0,95,0,"Bank transfer","Fiber optic",38,"One year"
0,45.55,1,"Bank transfer","DSL",66,"One year"
1,110,0,"Bank transfer","Fiber optic",68,"Two year"
0,24.3,0,"Mailed check","DSL",5,"Month-to-month"
0,104.15,0,"Electronic check","Fiber optic",72,"One year"
0,30.15,0,"Mailed check","DSL",32,"One year"
0,94.35,0,"Mailed check","Fiber optic",43,"One year"
0,19.4,0,"Credit card","No",72,"Two year"
1,96.75,0,"Electronic check","Fiber optic",55,"Month-to-month"
0,57.95,0,"Credit card","DSL",52,"One year"
0,91.65,0,"Electronic check","Fiber optic",43,"Month-to-month"
1,76.5,1,"Electronic check","Fiber optic",37,"Month-to-month"
0,54.6,0,"Electronic check","DSL",64,"Two year"
0,89.85,0,"Electronic check","Fiber optic",3,"Month-to-month"
0,31.05,0,"Bank transfer","DSL",36,"Two year"
1,100.25,0,"Electronic check","Fiber optic",10,"Month-to-month"
0,20.65,0,"Mailed check","No",41,"Two year"
0,85.2,0,"Credit card","Fiber optic",27,"Month-to-month"
0,99.8,0,"Credit card","Fiber optic",56,"One year"
0,20.7,0,"Mailed check","No",6,"Month-to-month"
1,74.4,0,"Electronic check","Fiber optic",3,"Month-to-month"
0,50.7,0,"Mailed check","DSL",7,"Month-to-month"
0,20.85,0,"Mailed check","No",4,"Month-to-month"
