"not.fully.paid","installment","log.annual.inc","fico","revol.bal","inq.last.6mths","pub.rec"
0,829.1,4.92941892768058,737,28.854,0,0
0,228.22,4.81291335713023,707,33.623,0,0
0,366.86,4.50514997754605,682,3.511,1,0
0,162.34,4.92941892768058,712,33.667,1,0
0,102.92,4.90741135881627,667,4.74,0,0
0,125.13,5.17026171420228,727,50.807,0,0
1,194.02,4.65321251431715,667,3.839,0,1
1,131.22,4.77815124986065,722,24.22,0,0
0,87.19,4.95424250973794,682,69.909,1,0
0,84.12,4.43136376199339,707,5.63,1,0
0,360.43,4.53147891547953,677,13.846,2,1
0,253.58,5.13987908460354,662,5.122,2,0
0,316.11,4.74818802712898,767,6.068,0,0
0,92.82,4.99999999784146,747,3.021,0,0
0,209.54,4.12057393139066,727,6.282,0,0
0,327.53,4.66385163035874,702,5.394,1,0
0,77.69,4.56998219610519,672,2.211,0,0
0,476.58,5.04139268308466,797,7.586,1,0
0,584.12,4.55630250187984,712,8.311,0,0
0,173.65,4.77815124986065,667,0.591,3,0
0,188.02,4.87506126229795,772,29.797,1,0
0,474.42,4.69897000242066,797,5.656,0,0
0,339.6,4.99999999784146,662,21.162,0,0
0,484.85,5.09691001462171,782,16.931,1,0
0,320.19,4.89209460457023,672,4.822,0,1
0,159.03,5.3979400100425,712,14.354,0,0
0,155.38,4.81291335713023,802,1.576,1,0
0,255.43,4.34242268067435,662,4.175,0,0
0,155.38,5.3010299976052,772,3.164,0,0
0,155.38,5.3010299976052,812,85.607,0,0
0,156.84,4.99999999784146,742,9.698,0,0
0,275.38,4.25527250515616,692,8.847,1,0
0,155.38,5.17609125771875,777,6.053,0,0
0,78.42,5.04139268308466,762,7.274,0,0
0,158.3,4.87506126229795,757,66.033,0,0
0,155.38,4.97772360503579,772,3.66,0,0
0,155.38,4.92941892768058,787,0.216,0,0
0,164.23,4.90308998540416,672,27.185,3,1
0,161.25,4.68124123742335,707,28.329,1,0
0,159.77,5.25527250515874,717,60.568,1,0
0,156.84,5.25527250515874,742,40.934,0,0
0,155.38,5.07918124528145,777,8.379,0,0
0,94.98,4.39794000699986,752,3.66,1,0
0,97.2,5.3010299976052,677,0,0,0
0,164.23,4.47712125443985,702,15.84,0,0
0,167.02,4.86923171878148,797,6.844,0,0
0,168.6,3.90308998713875,762,1.321,0,0
0,160.72,4.50514997754605,772,4.737,0,0
0,159.03,4.86332286006377,722,23.489,0,0
0,178.69,5.09691001462171,792,2.817,0,0
0,155.38,4.65321251431715,782,1.783,1,0
0,323.98,4.43736999387689,712,3.534,0,0
0,813.65,4.68124123742335,762,2.422,0,0
0,112.87,4.13033376830977,712,2.864,1,0
0,94.88,4.71767050132123,627,3.075,1,0
0,398.69,4.77815124986065,747,17.214,2,0
0,39.6,4.30102999586544,662,1.153,2,0
1,678.08,5.16136800162579,682,41.674,0,0
0,401.37,4.87506126229795,682,43.039,3,0
0,205.45,4.77815124986065,712,3.362,0,0
0,397.75,4.81291335713023,682,11.868,0,0
0,155.38,4.60205998998335,772,2.562,2,0
0,113.39,4.30102999586544,682,1.882,0,0
0,99.44,4.55814434043465,667,1.064,2,1
0,109.79,4.99122607671191,752,6.432,0,0
1,32.55,4.53135116341474,687,4.485,1,0
0,112.87,4.89209460457023,702,16.31,0,0
0,160.51,5.11394335255103,712,20.969,0,0
0,340.57,4.54406804414548,707,22.213,0,0
0,156.11,5.35218251759605,752,2.16,1,0
0,155.38,4.84509803956628,812,0.813,0,0
0,235.25,5.17609125771875,757,23.678,4,0
0,257.99,4.68124123742335,722,11.289,3,0
1,225.37,5.32837960140122,677,56.411,0,0
1,80.26,4.87506126229795,772,0.269,3,0
1,84,4.50514997754605,682,3.408,1,0
1,507.46,4.60205998998335,712,6.513,3,1
0,124.31,4.60205998998335,772,0.33,0,0
0,63.32,4.84509803956628,712,5.967,1,0
0,130.79,4.25527250515616,707,5.533,1,0
0,93.67,5.09691001462171,762,21.05,0,0
0,93.67,4.69897000242066,762,21.05,0,0
0,88.65,5.07918124528145,742,8.155,1,0
0,128.41,4.99999999784146,722,8.155,1,0
0,94.98,4.79239168774925,737,3.678,0,0
0,179.8,4.54406804414548,662,2.04,2,0
0,444.05,4.77815124986065,667,33.074,2,0
0,124.89,4.79098847359233,747,1.918,0,0
0,644.3,4.95424250973794,662,22.379,0,0
1,642.02,4.98227123284415,737,10.296,0,0
1,104.76,4.17609125901905,672,2.867,3,0
0,157.66,4.47712125443985,682,12.31,0,0
0,383.87,5.17609125771875,767,61.921,0,0
0,217.6,4.94448267064736,702,16.738,2,0
0,297.99,4.79934055146277,792,40.384,1,0
0,156.11,4.65321251431715,762,1.359,2,0
0,329.95,5.35218251759605,727,107.501,2,0
0,313.67,5.23804610161749,787,3.054,3,0
0,297.99,4.95424250973794,792,40.384,0,0
0,239.65,4.96848294762655,792,128,3,0
0,61.87,5.07188200580876,772,4.709,0,0
0,94.47,4.65321251431715,667,2.85,0,0
1,73.68,4.98227123284415,702,0.051,0,0
0,313.67,5.17609125771875,792,37.152,0,0
0,543.2,4.87506126229795,762,3.839,1,0
0,313.67,4.92941892768058,797,37.152,0,0
1,266.37,4.84509803956628,672,26.283,0,0
0,210.6,4.65321251431715,692,5.607,0,0
0,234.15,4.36172783388465,662,1.061,3,0
0,323.99,5.07918124528145,722,56.74,1,0
0,235.96,4.75587485705499,712,40.598,1,0
0,352.22,4.85733249730064,687,3.815,1,0
0,117.31,5.07918124528145,772,0,1,0
0,64.96,5.04139268308466,812,0.05,0,0
0,699.69,4.96378782906919,667,4.569,1,0
0,195.27,4.2787536008883,692,8.528,0,0
0,295.59,4.51054500943339,747,14.345,0,0
0,217.59,4.69897000242066,707,0.113,1,0
1,263.09,4.79379038524356,677,12.231,3,0
0,248.43,4.75587485705499,667,13.552,0,0
0,194.4,4.94101424291181,692,16.813,0,0
1,301.04,4.59106460914942,667,26.233,3,1
0,163.92,4.92941892768058,782,5.76,0,0
1,150.66,4.65896484461768,687,0.105,1,0
0,217.59,4.75663611013759,682,11.49,0,0
0,85.23,4.60205998998335,692,17.641,3,0
0,328.43,4.47712125443985,742,0,3,0
0,165.47,4.74036268766386,797,12.43,1,0
0,140.6,4.55630250187984,707,12.323,0,0
0,98.01,4.95424250973794,697,38.624,0,0
1,166.48,4.00000000001034,662,0.875,2,0
0,284.32,4.92941892768058,667,1.196,3,0
0,194.15,5.68124123612305,697,26.628,3,0
0,138.51,4.49136169232845,767,6.752,2,0
1,70.25,4.09691001288194,662,0.458,1,0
0,252.1,5.02118929944358,752,16.786,0,0
0,263.19,5.07918124528145,742,7.336,0,0
0,104.65,4.79239168774925,702,7.089,1,0
0,172.53,4.73239376175714,742,18.388,0,0
0,38.7,4.50514997754605,677,0.613,2,0
1,100.35,4.46419136963751,662,0.566,3,0
0,335.98,4.56110138207481,682,9.166,1,0
1,163.49,4.59106460914942,707,5.406,0,1
1,32.25,4.54406804414548,687,1.188,2,0
0,96.75,4.25527250515616,707,12.003,1,0
1,72.42,4.77815124986065,707,20.511,1,0
0,90.68,4.84509803956628,732,55.72,2,0
0,259.58,4.69019608129111,772,7.744,0,0
0,169.32,4.84509803956628,737,51.761,1,0
0,205.4,4.65321251431715,717,0.579,0,0
1,162.01,4.92941892768058,707,34.776,0,0
0,226.8,4.74350976354047,692,8.047,0,0
0,162.73,4.17609125901905,737,0,3,0
0,158.38,4.39794000699986,672,0.409,0,0
0,795.11,4.75587485705499,822,0.185,0,0
0,158.83,4.92427928700628,727,48.251,2,0
0,97.2,4.57978359717769,687,0.772,0,0
0,263.97,4.69897000242066,672,1.019,1,0
0,404.62,4.669437760504,692,8.332,2,0
0,307.53,4.84509803956628,797,1.79,1,0
1,839.95,4.87506126229795,722,62.739,3,0
1,269.31,5.03742649741457,767,29.901,2,0
0,265.18,4.71600334469293,667,5.867,1,0
0,802.47,4.89209460457023,732,10.605,1,0
1,505.16,5.07918124528145,697,57.196,3,0
1,318.05,5.43933269528571,712,0.481,2,0
0,315.12,4.47712125443985,737,2.282,1,0
0,130.79,4.15836249228456,672,3.614,1,0
0,227.82,4.80277372317228,682,14.93,1,1
0,643.36,5.06445798918848,727,33.989,0,0
0,51.78,4.39794000699986,632,1.238,1,0
0,572.48,4.61278385859309,747,4.746,2,0
0,149.87,4.32221929486179,752,3.47,0,0
0,96.75,4.79239168774925,682,12.64,0,0
0,92.8,4.96848294762655,812,0.368,0,0
0,192.09,4.81954393510386,677,30.597,1,0
0,593.92,4.43136376199339,682,8.537,0,0
0,392.36,4.54406804414548,692,15.649,2,0
0,156.11,4.71600334469293,767,4.067,0,0
0,155.52,4.54406804414548,687,5.836,0,1
0,485.99,4.94448267064736,702,24.615,0,0
0,116.64,4.47712125443985,687,7.6,0,1
1,223.34,4.70757017535683,682,9.495,2,0
0,149.87,4.30102999586544,757,4.921,0,0
0,211.17,4.97772360503579,667,11.2,1,0
0,186.45,4.83686822427839,777,2.444,3,0
0,790.86,4.77815124986065,767,0.916,0,0
1,795.11,5.78958071107189,782,148.829,5,0
0,126.65,4.64345267522656,747,3.209,0,0
0,294.27,4.90308998540416,677,7.57,0,0
0,404.62,4.90308998540416,687,13.126,0,1
0,397.77,5.17609125771875,687,66.654,1,0
0,178.68,4.97772360503579,812,0.05,0,0
1,29.16,4.07918124614745,687,3.084,3,0
0,417.62,4.96378782906919,712,2.598,1,0
0,130.18,4.79239168774925,682,18.168,2,0
0,98.53,4.51724869654009,682,24.218,2,0
0,15.69,4.25527250515616,722,0,0,0
0,523.14,5.3010299976052,697,72.303,1,0
0,557.23,5.18469143065492,757,1.032,0,0
0,315.3,4.62838892791684,677,0.133,1,0
1,527.93,4.64738297080067,682,34.023,1,0
0,93.23,4.85733249730064,757,12.43,5,0
0,202.94,4.68124123742335,787,10.742,3,0
1,165.74,4.60205998998335,667,2.197,0,0
1,158.76,4.64345267522656,692,0.088,1,0
0,485.99,4.69897000242066,702,13.867,0,0
1,322.49,4.86033800620498,702,3.943,3,0
0,189.97,4.38021124200255,757,5.405,2,0
0,376.24,4.52633927914817,712,12.102,1,0
0,599.33,5.04235496239705,682,18.076,1,0
1,132.35,4.43136376199339,702,4.504,1,0
0,828.69,4.71600334469293,712,25.852,0,0
0,604.88,4.71600334469293,707,32.438,0,0
0,538.23,4.74741180825853,747,20.38,2,0
0,172.55,4.62324929158548,707,38.054,0,0
0,604.88,4.55630250187984,697,0.025,2,0
0,290.24,4.57978359717769,697,3.305,2,0
1,530.36,4.93651374039769,682,0.348,0,0
0,158.31,4.38021124200255,722,3.015,0,0
0,390.54,4.47712125443985,702,7.336,1,0
0,301.04,4.71600334469293,662,8.644,1,0
1,659.91,4.98227123284415,707,0.093,2,0
0,217.52,4.63346845354896,777,2.698,0,0
0,388.79,4.98677173535827,697,19.009,0,0
0,158.31,4.68124123742335,717,0.498,2,0
1,319.64,4.77815124986065,672,10.358,2,1
0,103.68,4.87506126229795,682,2.105,0,0
0,154.08,4.77815124986065,697,2.822,3,0
0,650.9,5.03342375717794,707,21.004,0,0
0,81.74,4.6720978576351,667,11.675,1,0
0,238.54,4.28869626058399,712,3.933,0,0
0,335.98,4.76937732438816,662,7.251,3,2
1,93.23,4.65321251431715,692,0.088,1,0
0,95.87,4.56348108565957,697,1.492,2,0
0,95.94,4.39794000699986,692,7.121,0,0
0,554.37,4.79239168774925,677,17.641,2,0
1,859.07,4.90308998540416,682,30.946,3,0
0,472.68,4.88649072480949,772,0,0,0
0,586.9,4.87506126229795,697,23.391,1,0
0,224.69,4.29003461155715,772,16.324,0,0
1,483.81,4.55774774271377,662,7.104,2,0
0,399.55,4.38021124200255,672,9.273,0,0
0,232.04,4.70243053468252,672,6.718,3,0
1,802.47,4.87506126229795,767,12.017,4,0
0,304.9,4.84832621993739,692,5.749,1,0
0,836.23,4.8968677875607,692,6.53,0,0
0,124.89,4.38021124200255,752,2.666,0,0
0,113.4,4.68124123742335,687,3.761,2,0
0,842.47,5.07918124528145,677,33.698,0,0
1,817.41,4.86332286006377,737,3.472,1,0
0,421.65,4.54396876442692,667,14.534,3,0
0,575.17,4.77815124986065,732,6.703,1,0
0,405.03,5.02118929944358,667,5.861,2,0
0,167.99,4.40619942379964,662,5.061,0,0
0,677.22,4.73318923724492,722,16.888,0,0
0,131.99,4.70716123498678,667,0.463,0,0
0,281.2,4.39794000699986,712,0,0,0
0,802.47,4.68124123742335,742,8.283,4,0
0,505.16,5.04532297865877,687,46.525,0,0
0,180.23,4.61595005211279,772,2.65,0,0
1,798.84,4.99999999784146,762,0.017,5,0
1,319.54,4.56229286464297,727,0.827,2,0
0,32.1,3.69897000415525,702,0.961,2,0
0,192.6,4.25527250515616,697,1.554,1,0
1,764.64,5.13033376961524,672,10.753,2,0
0,30.94,5.07918124528145,792,2.227,1,0
0,381.66,5.00290606633828,722,7.606,0,1
1,301.04,4.77815124986065,662,8.355,0,0
0,687.25,4.91907809377505,667,27.293,0,0
0,320.99,4.82607480340738,712,10.157,0,0
1,862.97,4.93951925364498,677,4.209,2,0
0,250.95,4.73239376175714,767,0,1,0
0,87.01,4.46799265803577,767,1.773,1,0
1,62.45,4.38021124200255,742,0.949,1,0
1,851.41,4.87506126229795,687,12.308,2,0
0,244.09,4.60178847341621,687,7.914,3,0
0,687.25,4.62838892791684,672,9.15,0,0
0,656.86,4.58609197207519,702,21.777,3,0
0,537.57,4.98761264673474,667,4.281,3,0
0,320.99,4.39724457993187,712,4.475,0,0
0,386.99,4.99999999784146,707,25.413,2,0
0,315.12,5.02938377618948,742,15.043,2,0
0,292.91,4.41363499699608,682,6.353,2,0
0,125.48,4.33445375129327,742,3.737,1,0
0,383.45,4.83657727303318,717,11.37,0,0
0,523.78,4.55630250187984,667,18.403,0,0
0,199.78,5.07918124528145,662,19.504,0,0
0,575.17,5.00860017077763,747,10.463,2,0
0,95.42,4.00000000001034,707,2.808,3,0
0,477.07,4.85125835044607,742,6.297,0,0
0,345.06,4.79239168774925,792,33.06,0,0
1,155.19,4.29666519039936,717,4.5,0,0
0,644.97,4.86918476720504,732,2.344,1,0
0,92.8,4.78247262327277,797,2.907,0,0
0,306.36,4.76342799376768,727,26.218,2,0
0,143.53,4.34242268067435,707,5.967,0,0
