"Violator","Male","Age","TimeServed","Class","Multiple","InCity"
0,1,49.4,3.15,"D",0,1
1,1,26,5.95,"D",1,0
0,1,24.9,2.25,"D",1,0
0,1,52.1,29.22,"A",0,0
0,1,35.9,12.78,"A",1,1
0,1,25.9,1.18,"C",1,1
0,1,19,0.54,"D",0,0
0,1,43.2,1.07,"C",0,1
0,1,31.6,1.17,"E",0,0
0,1,40.7,4.64,"B",1,1
0,1,53.9,21.61,"A",0,1
0,1,28.5,3.23,"D",1,0
0,1,36.1,3.71,"D",0,1
0,1,48.8,1.17,"D",0,0
0,1,37.6,4.62,"C",0,0
0,1,42.5,1.75,"D",0,1
0,1,39.1,2.22,"D",0,0
0,1,28.9,2.15,"B",1,0
0,1,40.2,21.19,"A",0,1
0,1,36.4,1.63,"D",0,1
0,0,34.7,0.51,"D",0,0
0,1,51.1,1.28,"D",0,1
0,1,44.3,0.92,"E",1,0
0,1,40.9,3.86,"D",0,1
0,1,22.9,1.32,"E",0,0
0,1,55.9,27.81,"A",1,1
0,1,60.7,1.83,"C",0,1
0,0,28.5,0.84,"D",1,0
0,1,51.8,1.94,"E",1,1
0,1,32.3,9.02,"A",0,0
0,1,24.8,1.09,"D",0,0
0,1,52,14.12,"B",1,1
0,1,27.3,1.95,"D",0,1
0,1,47.3,20.33,"B",1,1
0,1,30.3,1.83,"B",1,0
0,1,53.8,28.21,"A",1,0
0,0,48.3,0.75,"B",0,1
0,1,38.3,2.25,"C",0,0
0,1,19.9,1.54,"E",0,1
1,1,57.1,9.81,"B",1,0
0,1,47.3,20.11,"B",0,0
0,1,49.5,8.13,"D",1,1
0,1,50.6,1.08,"D",0,1
0,1,23.5,0.95,"C",0,0
0,1,44.5,21.05,"A",1,1
0,1,88.1,26.66,"A",1,0
0,1,35.6,2.03,"D",0,0
0,0,46,1.01,"D",1,0
0,1,45.3,1.53,"D",0,1
0,1,34.5,2.08,"D",0,0
0,1,25.7,1.54,"D",0,0
0,1,47.6,20.57,"A",1,0
0,1,27.4,1.02,"E",0,0
0,0,44.9,2.75,"B",1,1
0,1,57.1,27.76,"A",1,1
0,1,48.1,15.62,"C",0,0
0,1,21.5,0.94,"E",0,0
0,1,41.8,16.93,"B",1,1
0,1,57,1.01,"E",0,0
0,1,34.3,0.57,"E",0,0
0,1,33.1,2.08,"D",0,0
0,1,29.4,1.62,"E",1,0
0,1,43.7,0.86,"E",0,0
0,1,23,1.07,"D",0,0
0,0,46.9,1.08,"E",0,1
0,1,32.4,1.25,"E",0,1
0,0,43,0.62,"B",0,0
0,1,39.2,0.92,"E",0,0
0,1,26.2,0.73,"D",1,0
0,1,48.8,13.2,"D",0,1
0,1,51,15.38,"D",0,1
0,0,70.1,18.25,"A",0,1
0,0,23.6,0.59,"E",0,0
0,1,53,24.39,"A",1,0
0,1,21.6,1.78,"D",0,0
0,1,50.3,14.44,"C",0,1
0,1,36.6,1.33,"E",1,0
0,0,30.8,2.67,"C",1,1
0,1,56.7,7.18,"E",0,1
0,1,29.6,1.79,"E",0,1
0,1,54.8,16.05,"C",0,0
0,1,39.4,1.46,"E",0,0
0,1,45.1,26.28,"A",1,1
0,1,21.8,1.07,"D",0,0
0,1,39.4,4.03,"C",0,0
0,1,27,1.6,"E",0,0
1,1,35.8,4.88,"E",0,1
0,1,35.6,16.23,"A",0,0
0,1,39.4,17.04,"B",1,1
0,1,60,19.08,"C",0,1
0,0,48.1,1.02,"C",1,0
0,1,35.9,0.77,"D",0,0
0,0,39.8,1.02,"E",0,0
0,1,31.6,1.2,"B",0,1
0,1,32,0.42,"E",0,0
0,1,34.5,1.66,"B",0,1
0,1,46.6,1.3,"D",1,1
0,1,19.7,0.69,"D",0,1
1,1,31.7,8.36,"C",1,0
0,1,50,16.44,"D",0,1
0,1,26.5,2.15,"D",0,0
0,1,43.1,1.25,"E",1,0
0,1,22,2.19,"D",0,1
0,1,57.8,25.96,"D",0,0
0,1,46.3,0.75,"E",0,1
0,1,40.7,1.09,"D",1,0
0,1,53.4,16.34,"C",0,1
0,1,44.2,1.06,"B",1,1
0,1,59.3,1.19,"D",0,1
0,1,46.6,28.73,"A",1,1
0,1,29.6,3.21,"C",0,0
0,1,50.3,12.56,"D",0,1
0,1,51.7,17.23,"A",0,1
0,0,48.4,0.84,"C",1,0
0,1,23.7,1.59,"C",1,0
0,1,44.3,17.89,"A",0,1
0,1,21.5,1.66,"E",0,0
0,1,67.6,1.67,"C",0,0
