"CTR","titleWords","adWords","depth","position","advCTR","advCTRInPos","queryCTR","queryCTRInPos","gender","age"
0,8,17,1,1,0.0136,0.0153,0,0,"male","0-12"
0,9,19,3,3,0.0199,0.0088,0.0394,0.0125,"male","25-30"
0.0675,6,30,2,1,0.0825,0.1002,0.02,0.0256,"female","13-18"
0,5,19,3,2,0.0116,0.009,0.0042,0.0017,"female","25-30"
0,10,22,1,1,0.0186,0.0284,0.0294,0.0431,"female","0-12"
0.004,11,24,3,3,0.0345,0.0106,0.0326,0.0058,"male","13-18"
0.0342,10,20,1,1,0.0283,0.0338,0.0219,0.0353,"male","31-40"
0.017,12,29,3,3,0.03,0,0.0148,0.0087,"male","31-40"
0.0074,6,14,3,2,0.0065,0.0039,0.0283,0.0101,"unknown","unknown"
0.0233,10,24,2,1,0.0315,0.057,0.0209,0.0285,"female","31-40"
0.0045,11,26,3,3,0.0458,0.0111,0.0472,0.0224,"male","31-40"
0.019,7,18,2,2,0.0345,0.0261,0.056,0.0232,"female","19-24"
0.0025,13,20,1,1,0.0144,0.0197,0.0036,0.0039,"male","13-18"
0.0218,7,21,1,1,0.0431,0.0499,0.0062,0.0097,"male","19-24"
0.0184,9,23,2,2,0.0256,0.0253,0.0038,0.0031,"unknown","unknown"
0.1066,13,22,2,1,0.0568,0.0711,0.0924,0.1515,"male","19-24"
0,5,18,1,1,0.0073,0.0082,0.003,0.0034,"male","25-30"
0.0087,9,19,3,2,0.0176,0.0089,0.0549,0.0262,"female","0-12"
0.101,9,20,3,1,0.0427,0.0491,0.0543,0.0815,"male","19-24"
0.068,9,19,2,1,0.0183,0.0277,0.0359,0.0596,"male","19-24"
0,10,21,2,2,0.0546,0.0378,0.0025,0.0028,"male","19-24"
0.0059,11,10,2,2,0.0239,0.0136,0.0287,0.024,"female","13-18"
0.0195,12,19,3,1,0.0456,0.0553,0.0237,0.0375,"female","19-24"
0,8,23,1,1,0.025,0.0303,0.0204,0.0234,"female","25-30"
0.0334,8,24,2,1,0.0431,0.0499,0.0334,0.0571,"female","41+"
0.0939,8,28,2,1,0.0305,0.0388,0.0394,0.0448,"male","13-18"
0.018,12,22,2,1,0.0564,0.0687,0.0163,0.0241,"female","41+"
0,9,31,3,2,0.0093,0.0141,0.0025,0.0014,"male","19-24"
0,12,25,3,1,0.0212,0.0241,0.0392,0.0487,"female","0-12"
0.0119,9,24,1,1,0.0106,0.0083,0.0064,0.0069,"male","19-24"
0.0549,12,24,2,1,0.019,0.0242,0.0263,0.0339,"male","19-24"
0.0472,12,20,1,1,0.0573,0.0631,0.0603,0.0606,"unknown","0-12"
0.0139,12,25,2,2,0.0311,0.0151,0.0357,0.0062,"unknown","unknown"
0.0024,7,18,2,2,0.0345,0.0261,0.0208,0.0034,"male","13-18"
0.0573,8,16,2,2,0.0546,0.0375,0.0716,0.0547,"male","19-24"
0.0685,11,26,1,1,0.049,0.053,0.048,0.0632,"female","19-24"
0.0014,7,10,2,2,0.0158,0.0144,0.0033,0.0013,"female","19-24"
